G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:230.044
nBlock:0
energy of incidence neutron:0.0253          Number of data set followings:1204          interpolation scheme:0
FSP:23066  mFSP:0  Y:1.96075e-14
FSP:23067  mFSP:0  Y:1.06487e-15
FSP:24066  mFSP:0  Y:3.72032e-10
FSP:24067  mFSP:0  Y:1.4801e-11
FSP:24068  mFSP:0  Y:5.0507e-13
FSP:24069  mFSP:0  Y:2.22213e-14
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:1.69024e-07
FSP:25067  mFSP:0  Y:2.46034e-08
FSP:25068  mFSP:0  Y:2.07029e-09
FSP:25069  mFSP:0  Y:1.38997e-10
FSP:25070  mFSP:0  Y:4.74066e-12
FSP:25071  mFSP:0  Y:1.4002e-13
FSP:25072  mFSP:0  Y:4.84916e-15
FSP:26066  mFSP:0  Y:1.36119e-05
FSP:26067  mFSP:0  Y:4.54063e-06
FSP:26068  mFSP:0  Y:1.36019e-06
FSP:26069  mFSP:0  Y:2.26032e-07
FSP:26070  mFSP:0  Y:2.92041e-08
FSP:26071  mFSP:0  Y:2.1203e-09
FSP:26072  mFSP:0  Y:9.2008e-11
FSP:26073  mFSP:0  Y:2.48035e-12
FSP:26074  mFSP:0  Y:4.71066e-14
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:3.38447e-05
FSP:27067  mFSP:0  Y:3.5755e-05
FSP:27068  mFSP:0  Y:2.32432e-05
FSP:27069  mFSP:0  Y:1.34919e-05
FSP:27070  mFSP:0  Y:4.18058e-06
FSP:27071  mFSP:0  Y:1.09015e-06
FSP:27072  mFSP:0  Y:1.21017e-07
FSP:27073  mFSP:0  Y:1.25017e-08
FSP:27074  mFSP:0  Y:6.04084e-10
FSP:27075  mFSP:0  Y:2.75038e-11
FSP:27076  mFSP:0  Y:4.97069e-13
FSP:28066  mFSP:0  Y:2.18731e-05
FSP:28067  mFSP:0  Y:4.63965e-05
FSP:28068  mFSP:0  Y:9.16628e-05
FSP:28069  mFSP:0  Y:0.000111746
FSP:28070  mFSP:0  Y:0.000114156
FSP:28071  mFSP:0  Y:6.60392e-05
FSP:28072  mFSP:0  Y:2.68137e-05
FSP:28073  mFSP:0  Y:6.69093e-06
FSP:28074  mFSP:0  Y:1.21017e-06
FSP:28075  mFSP:0  Y:1.38019e-07
FSP:28076  mFSP:0  Y:9.85137e-09
FSP:28077  mFSP:0  Y:3.74052e-10
FSP:28078  mFSP:0  Y:9.98139e-12
FSP:28079  mFSP:0  Y:3.86874e-13
FSP:28080  mFSP:0  Y:0
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:4.59064e-07
FSP:29067  mFSP:0  Y:3.20045e-06
FSP:29068  mFSP:0  Y:3.97055e-06
FSP:29068  mFSP:1  Y:9.27129e-06
FSP:29069  mFSP:0  Y:5.07771e-05
FSP:29070  mFSP:0  Y:2.65537e-05
FSP:29070  mFSP:1  Y:7.96711e-05
FSP:29071  mFSP:0  Y:0.000188306
FSP:29072  mFSP:0  Y:0.000167293
FSP:29073  mFSP:0  Y:0.00014055
FSP:29074  mFSP:0  Y:5.87582e-05
FSP:29075  mFSP:0  Y:2.42334e-05
FSP:29076  mFSP:0  Y:4.36061e-06
FSP:29077  mFSP:0  Y:6.4209e-07
FSP:29078  mFSP:0  Y:4.45062e-08
FSP:29079  mFSP:0  Y:2.41995e-09
FSP:29080  mFSP:0  Y:6.82095e-11
FSP:29081  mFSP:0  Y:1.49021e-12
FSP:29082  mFSP:0  Y:1.57022e-14
FSP:30066  mFSP:0  Y:1.76025e-09
FSP:30067  mFSP:0  Y:2.9004e-08
FSP:30068  mFSP:0  Y:4.17058e-07
FSP:30069  mFSP:0  Y:6.92097e-07
FSP:30069  mFSP:1  Y:2.95041e-06
FSP:30070  mFSP:0  Y:2.52735e-05
FSP:30071  mFSP:0  Y:1.75124e-05
FSP:30071  mFSP:1  Y:7.46504e-05
FSP:30072  mFSP:0  Y:0.000261056
FSP:30073  mFSP:0  Y:0.000450333
FSP:30074  mFSP:0  Y:0.000598894
FSP:30075  mFSP:0  Y:0.000538245
FSP:30076  mFSP:0  Y:0.000341508
FSP:30077  mFSP:0  Y:0.000121617
FSP:30078  mFSP:0  Y:3.17944e-05
FSP:30079  mFSP:0  Y:4.52063e-06
FSP:30080  mFSP:0  Y:4.9907e-07
FSP:30081  mFSP:0  Y:2.76039e-08
FSP:30082  mFSP:0  Y:1.16016e-09
FSP:30083  mFSP:0  Y:2.65037e-11
FSP:30084  mFSP:0  Y:4.75066e-13
FSP:30086  mFSP:0  Y:0
FSP:31066  mFSP:0  Y:1.53021e-13
FSP:31067  mFSP:0  Y:9.39131e-12
FSP:31068  mFSP:0  Y:3.27046e-10
FSP:31069  mFSP:0  Y:1.06015e-08
FSP:31070  mFSP:0  Y:1.76025e-07
FSP:31071  mFSP:0  Y:2.20031e-06
FSP:31072  mFSP:1  Y:7.146e-06
FSP:31072  mFSP:0  Y:7.146e-06
FSP:31073  mFSP:0  Y:8.00812e-05
FSP:31074  mFSP:1  Y:0.00011054
FSP:31074  mFSP:0  Y:0.00011054
FSP:31075  mFSP:0  Y:0.000616496
FSP:31076  mFSP:0  Y:0.000829546
FSP:31077  mFSP:0  Y:0.000981117
FSP:31078  mFSP:0  Y:0.000586542
FSP:31079  mFSP:0  Y:0.000309173
FSP:31080  mFSP:0  Y:8.39517e-05
FSP:31081  mFSP:0  Y:1.72724e-05
FSP:31082  mFSP:0  Y:1.87026e-06
FSP:31083  mFSP:0  Y:1.63023e-07
FSP:31084  mFSP:0  Y:7.24101e-09
FSP:31085  mFSP:0  Y:3.11043e-10
FSP:31086  mFSP:0  Y:6.21087e-12
FSP:32066  mFSP:0  Y:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:4.05057e-14
FSP:32069  mFSP:0  Y:3.33046e-12
FSP:32070  mFSP:0  Y:2.10029e-10
FSP:32071  mFSP:0  Y:3.16044e-09
FSP:32071  mFSP:1  Y:3.16044e-09
FSP:32072  mFSP:0  Y:1.55022e-07
FSP:32073  mFSP:0  Y:1.66023e-06
FSP:32073  mFSP:1  Y:3.89054e-07
FSP:32074  mFSP:0  Y:1.95327e-05
FSP:32075  mFSP:0  Y:1.54922e-05
FSP:32075  mFSP:1  Y:0.000103664
FSP:32076  mFSP:0  Y:0.000523703
FSP:32077  mFSP:0  Y:0.00113331
FSP:32077  mFSP:1  Y:0.000169344
