G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:231.038
nBlock:2
energy of incidence neutron:0.0253          Number of data set followings:1232          interpolation scheme:2
FSP:23066  mFSP:0  Y:5.17176e-19
FSP:24066  mFSP:0  Y:2.44989e-14
FSP:24067  mFSP:0  Y:0
FSP:24068  mFSP:0  Y:0
FSP:24069  mFSP:0  Y:1.01806e-17
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:9.66976e-12
FSP:25067  mFSP:0  Y:5.57986e-12
FSP:25068  mFSP:0  Y:9.38976e-13
FSP:25069  mFSP:0  Y:1.58986e-13
FSP:25070  mFSP:0  Y:1.56996e-14
FSP:25071  mFSP:0  Y:0
FSP:25072  mFSP:0  Y:8.21149e-17
FSP:26066  mFSP:0  Y:8.1598e-10
FSP:26067  mFSP:0  Y:1.03997e-09
FSP:26068  mFSP:0  Y:7.40981e-10
FSP:26069  mFSP:0  Y:2.82993e-10
FSP:26070  mFSP:0  Y:1.23997e-10
FSP:26071  mFSP:0  Y:3.25992e-11
FSP:26072  mFSP:0  Y:3.88982e-12
FSP:26073  mFSP:0  Y:2.21994e-13
FSP:26074  mFSP:0  Y:0
FSP:26075  mFSP:0  Y:6.97914e-16
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:1.13997e-09
FSP:27067  mFSP:0  Y:5.26987e-09
FSP:27068  mFSP:0  Y:7.69981e-09
FSP:27069  mFSP:0  Y:1.13997e-08
FSP:27070  mFSP:0  Y:1.11997e-08
FSP:27071  mFSP:0  Y:1.25997e-08
FSP:27072  mFSP:0  Y:3.51991e-09
FSP:27073  mFSP:0  Y:8.94978e-10
FSP:27074  mFSP:0  Y:8.43979e-11
FSP:27075  mFSP:0  Y:1.0899e-11
FSP:27076  mFSP:0  Y:4.0199e-13
FSP:27077  mFSP:0  Y:1.47826e-14
FSP:27078  mFSP:0  Y:6.20611e-16
FSP:28066  mFSP:0  Y:5.32987e-10
FSP:28067  mFSP:0  Y:4.73988e-09
FSP:28068  mFSP:0  Y:2.42994e-08
FSP:28069  mFSP:0  Y:6.73983e-08
FSP:28070  mFSP:0  Y:2.42994e-07
FSP:28071  mFSP:0  Y:5.69986e-07
FSP:28072  mFSP:0  Y:6.46984e-07
FSP:28073  mFSP:0  Y:3.70991e-07
FSP:28074  mFSP:0  Y:1.50996e-07
FSP:28075  mFSP:0  Y:4.60988e-08
FSP:28076  mFSP:0  Y:7.37981e-09
FSP:28077  mFSP:0  Y:5.12972e-10
