G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:236.006
nBlock:1
energy of incidence neutron:500000          Number of data set followings:1311          interpolation scheme:1
FSP:22066  mFSP:0  Y:7.98702e-19
FSP:23066  mFSP:0  Y:1.41848e-14
FSP:23067  mFSP:0  Y:2.75346e-16
FSP:23068  mFSP:0  Y:1.6886e-17
FSP:23069  mFSP:0  Y:2.81559e-18
FSP:24066  mFSP:0  Y:1.70859e-11
FSP:24067  mFSP:0  Y:6.73977e-12
FSP:24068  mFSP:0  Y:4.47986e-13
FSP:24069  mFSP:0  Y:6.89185e-14
FSP:24070  mFSP:0  Y:0
FSP:24071  mFSP:0  Y:1.15325e-17
FSP:25066  mFSP:0  Y:2.02001e-09
FSP:25067  mFSP:0  Y:2.67002e-09
FSP:25068  mFSP:0  Y:5.04003e-10
FSP:25069  mFSP:0  Y:6.02315e-11
FSP:25070  mFSP:0  Y:4.45003e-12
FSP:25071  mFSP:0  Y:2.2199e-13
FSP:25072  mFSP:0  Y:1.9449e-15
FSP:25073  mFSP:0  Y:3.91367e-16
FSP:25074  mFSP:0  Y:1.66975e-17
FSP:26066  mFSP:0  Y:2.17001e-08
FSP:26067  mFSP:0  Y:7.40005e-08
FSP:26068  mFSP:0  Y:4.30003e-08
FSP:26069  mFSP:0  Y:1.44001e-08
FSP:26070  mFSP:0  Y:3.49002e-09
FSP:26071  mFSP:0  Y:4.97003e-10
FSP:26072  mFSP:0  Y:5.15984e-11
FSP:26073  mFSP:0  Y:9.57967e-12
FSP:26074  mFSP:0  Y:4.42986e-13
FSP:26075  mFSP:0  Y:7.06494e-15
FSP:26076  mFSP:0  Y:0
FSP:26077  mFSP:0  Y:3.1292e-16
FSP:27066  mFSP:0  Y:1.25001e-08
FSP:27067  mFSP:0  Y:1.18001e-07
FSP:27068  mFSP:0  Y:1.61001e-07
FSP:27069  mFSP:0  Y:1.59001e-07
FSP:27070  mFSP:0  Y:9.81006e-08
FSP:27071  mFSP:0  Y:4.36003e-08
FSP:27072  mFSP:0  Y:1.28001e-08
FSP:27073  mFSP:0  Y:7.85005e-09
FSP:27074  mFSP:0  Y:1.07001e-09
FSP:27075  mFSP:0  Y:1.35994e-10
FSP:27076  mFSP:0  Y:1.08001e-11
FSP:27077  mFSP:0  Y:6.02343e-12
FSP:27078  mFSP:0  Y:5.91763e-14
FSP:27079  mFSP:0  Y:1.39145e-14
FSP:28066  mFSP:0  Y:8.07005e-10
FSP:28067  mFSP:0  Y:1.95001e-08
FSP:28068  mFSP:0  Y:7.42005e-08
FSP:28069  mFSP:0  Y:1.74001e-07
FSP:28070  mFSP:0  Y:2.92002e-07
FSP:28071  mFSP:0  Y:3.07002e-07
FSP:28072  mFSP:0  Y:2.69002e-07
FSP:28073  mFSP:0  Y:4.26003e-07
FSP:28074  mFSP:0  Y:1.90001e-07
FSP:28075  mFSP:0  Y:6.65004e-08
FSP:28076  mFSP:0  Y:1.76001e-08
FSP:28077  mFSP:0  Y:6.69402e-09
FSP:28078  mFSP:0  Y:1.56995e-09
FSP:28079  mFSP:0  Y:3.40592e-10
FSP:28080  mFSP:0  Y:5.36003e-12
FSP:28081  mFSP:0  Y:1.63117e-13
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:1.96001e-12
FSP:29067  mFSP:0  Y:1.58001e-10
FSP:29068  mFSP:0  Y:4.33003e-10
FSP:29068  mFSP:1  Y:1.17001e-09
FSP:29069  mFSP:0  Y:1.16001e-08
FSP:29070  mFSP:0  Y:1.05001e-08
FSP:29070  mFSP:1  Y:3.71002e-08
FSP:29071  mFSP:0  Y:1.38001e-07
FSP:29072  mFSP:0  Y:2.87002e-07
FSP:29073  mFSP:0  Y:1.24001e-06
FSP:29074  mFSP:0  Y:1.36001e-06
FSP:29075  mFSP:0  Y:1.41001e-06
FSP:29076  mFSP:0  Y:9.79006e-07
FSP:29077  mFSP:0  Y:1.22001e-06
FSP:29078  mFSP:0  Y:7.98005e-07
FSP:29079  mFSP:0  Y:2.97661e-07
FSP:29080  mFSP:0  Y:2.82002e-08
FSP:29081  mFSP:0  Y:3.13986e-09
FSP:29082  mFSP:0  Y:2.49002e-10
FSP:29083  mFSP:0  Y:3.81971e-12
FSP:29084  mFSP:0  Y:2.47259e-13
FSP:30066  mFSP:0  Y:0
FSP:30067  mFSP:0  Y:8.05005e-14
FSP:30068  mFSP:0  Y:2.74002e-12
FSP:30069  mFSP:0  Y:9.72006e-12
FSP:30069  mFSP:1  Y:4.75003e-11
FSP:30070  mFSP:0  Y:7.53005e-10
FSP:30071  mFSP:0  Y:9.80006e-10
FSP:30071  mFSP:1  Y:4.79003e-09
FSP:30072  mFSP:0  Y:3.64002e-08
FSP:30073  mFSP:0  Y:3.80002e-07
FSP:30074  mFSP:0  Y:1.17001e-06
FSP:30075  mFSP:0  Y:2.79002e-06
FSP:30076  mFSP:0  Y:5.35003e-06
FSP:30077  mFSP:0  Y:1.66601e-05
FSP:30078  mFSP:0  Y:3.25502e-05
FSP:30079  mFSP:0  Y:3.31502e-05
FSP:30080  mFSP:0  Y:1.04201e-05
FSP:30081  mFSP:0  Y:3.37002e-06
FSP:30082  mFSP:0  Y:9.30006e-07
FSP:30083  mFSP:0  Y:9.34968e-08
FSP:30084  mFSP:0  Y:6.55979e-09
FSP:30085  mFSP:0  Y:5.01299e-11
FSP:30086  mFSP:0  Y:3.67002e-12
FSP:30087  mFSP:0  Y:1.76076e-13
FSP:31066  mFSP:0  Y:0
FSP:31067  mFSP:0  Y:0
FSP:31068  mFSP:0  Y:0
FSP:31069  mFSP:0  Y:1.06001e-14
FSP:31070  mFSP:0  Y:4.02003e-13
FSP:31071  mFSP:0  Y:1.03001e-11
FSP:31072  mFSP:1  Y:9.30006e-11
FSP:31072  mFSP:0  Y:9.30006e-11
FSP:31073  mFSP:0  Y:6.16004e-09
FSP:31074  mFSP:1  Y:2.53002e-08
FSP:31074  mFSP:0  Y:2.53002e-08
FSP:31075  mFSP:0  Y:3.52002e-07
FSP:31076  mFSP:0  Y:1.61001e-06
FSP:31077  mFSP:0  Y:1.39701e-05
FSP:31078  mFSP:0  Y:6.31504e-05
FSP:31079  mFSP:0  Y:0.000183731
FSP:31080  mFSP:0  Y:0.000146571
FSP:31081  mFSP:0  Y:0.000147941
FSP:31082  mFSP:0  Y:0.000113161
FSP:31083  mFSP:0  Y:3.93803e-05
FSP:31084  mFSP:0  Y:8.60006e-06
FSP:31085  mFSP:0  Y:9.64956e-07
FSP:31086  mFSP:0  Y:5.74004e-08
FSP:31087  mFSP:0  Y:3.3893e-09
FSP:31088  mFSP:0  Y:1.56421e-11
FSP:31089  mFSP:0  Y:1.61838e-12
FSP:32066  mFSP:0  Y:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:0
FSP:32069  mFSP:0  Y:0
FSP:32070  mFSP:0  Y:0
FSP:32071  mFSP:0  Y:0
FSP:32071  mFSP:1  Y:0
FSP:32072  mFSP:0  Y:6.88004e-14
FSP:32073  mFSP:0  Y:5.38003e-12
FSP:32073  mFSP:1  Y:1.10001e-12
FSP:32074  mFSP:0  Y:1.84001e-10
FSP:32075  mFSP:0  Y:4.23003e-10
FSP:32075  mFSP:1  Y:3.10002e-09
FSP:32076  mFSP:0  Y:5.04003e-08
FSP:32077  mFSP:0  Y:1.02001e-06
FSP:32077  mFSP:1  Y:1.38001e-07
FSP:32078  mFSP:0  Y:1.49901e-05
FSP:32079  mFSP:1  Y:5.26853e-05
FSP:32079  mFSP:0  Y:5.26853e-05
FSP:32080  mFSP:0  Y:0.000233711
FSP:32081  mFSP:0  Y:0.000562954
FSP:32082  mFSP:0  Y:0.00124097
FSP:32083  mFSP:0  Y:0.00115294
FSP:32084  mFSP:0  Y:0.000847555
FSP:32085  mFSP:0  Y:0.000283792
FSP:32086  mFSP:0  Y:6.09604e-05
FSP:32087  mFSP:0  Y:3.76663e-06
FSP:32088  mFSP:0  Y:4.14987e-07
FSP:32089  mFSP:0  Y:3.96139e-08
FSP:32090  mFSP:0  Y:4.96919e-11
FSP:32091  mFSP:0  Y:8.78838e-12
FSP:32092  mFSP:0  Y:9.24813e-13
FSP:33069  mFSP:0  Y:0
FSP:33071  mFSP:0  Y:0
FSP:33072  mFSP:0  Y:0
FSP:33073  mFSP:0  Y:0
FSP:33074  mFSP:0  Y:0
FSP:33074  mFSP:1  Y:1.53001e-14
FSP:33075  mFSP:0  Y:1.37001e-12
FSP:33076  mFSP:0  Y:5.60004e-11
FSP:33077  mFSP:0  Y:4.35003e-09
FSP:33078  mFSP:0  Y:1.54001e-07
FSP:33079  mFSP:0  Y:3.45002e-06
FSP:33080  mFSP:0  Y:1.98301e-05
FSP:33081  mFSP:0  Y:0.000138801
FSP:33082  mFSP:0  Y:0.000367722
FSP:33082  mFSP:1  Y:0.000367722
FSP:33083  mFSP:0  Y:0.00240527
FSP:33084  mFSP:1  Y:0.00180259
FSP:33084  mFSP:0  Y:0.00180259
FSP:33085  mFSP:0  Y:0.00377349
FSP:33086  mFSP:0  Y:0.0022688
FSP:33087  mFSP:0  Y:0.000497223
FSP:33088  mFSP:0  Y:0.000166101
FSP:33089  mFSP:0  Y:3.46206e-05
FSP:33090  mFSP:0  Y:8.82518e-07
FSP:33091  mFSP:0  Y:1.69168e-07
FSP:33092  mFSP:0  Y:1.64245e-08
FSP:33093  mFSP:0  Y:2.33867e-11
FSP:33094  mFSP:0  Y:2.41605e-12
FSP:34072  mFSP:0  Y:0
FSP:34073  mFSP:0  Y:0
FSP:34073  mFSP:1  Y:0
FSP:34074  mFSP:0  Y:0
FSP:34075  mFSP:0  Y:0
FSP:34076  mFSP:0  Y:0
FSP:34077  mFSP:0  Y:1.11001e-13
FSP:34077  mFSP:1  Y:8.16005e-13
FSP:34078  mFSP:0  Y:1.20001e-10
FSP:34079  mFSP:0  Y:6.89004e-09
FSP:34079  mFSP:1  Y:9.40006e-10
FSP:34080  mFSP:0  Y:1.51001e-07
FSP:34081  mFSP:0  Y:3.53002e-07
FSP:34081  mFSP:1  Y:2.59002e-06
FSP:34082  mFSP:0  Y:4.88303e-05
FSP:34083  mFSP:0  Y:0.000278782
FSP:34083  mFSP:1  Y:5.71004e-05
FSP:34084  mFSP:0  Y:0.00174063
FSP:34085  mFSP:0  Y:0.00246317
FSP:34085  mFSP:1  Y:0.00236218
FSP:34086  mFSP:0  Y:0.00834567
FSP:34087  mFSP:0  Y:0.00848079
FSP:34088  mFSP:0  Y:0.00541899
FSP:34089  mFSP:0  Y:0.00333874
FSP:34090  mFSP:0  Y:0.00106301
FSP:34091  mFSP:0  Y:0.000188002
FSP:34092  mFSP:0  Y:1.97837e-05
