G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:234.018
nBlock:1
energy of incidence neutron:500000          Number of data set followings:1267          interpolation scheme:1
FSP:23066  mFSP:0  Y:1.87064e-17
FSP:23067  mFSP:0  Y:2.02328e-18
FSP:24066  mFSP:0  Y:6.25013e-13
FSP:24067  mFSP:0  Y:6.76014e-14
FSP:24068  mFSP:0  Y:0
FSP:24069  mFSP:0  Y:4.39974e-17
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:1.34007e-10
FSP:25067  mFSP:0  Y:5.9603e-11
FSP:25068  mFSP:0  Y:1.00005e-11
FSP:25069  mFSP:0  Y:1.47003e-12
FSP:25070  mFSP:0  Y:9.73049e-14
FSP:25071  mFSP:0  Y:0
FSP:25072  mFSP:0  Y:4.04058e-16
FSP:25073  mFSP:0  Y:3.5617e-17
FSP:26066  mFSP:0  Y:4.38022e-09
FSP:26067  mFSP:0  Y:4.75024e-09
FSP:26068  mFSP:0  Y:3.10015e-09
FSP:26069  mFSP:0  Y:1.20006e-09
FSP:26070  mFSP:0  Y:3.40017e-10
FSP:26071  mFSP:0  Y:6.81034e-11
FSP:26072  mFSP:0  Y:1.35003e-11
FSP:26073  mFSP:0  Y:1.19002e-12
FSP:26074  mFSP:0  Y:8.97045e-14
FSP:26075  mFSP:0  Y:2.14001e-15
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:3.25016e-09
FSP:27067  mFSP:0  Y:1.16006e-08
FSP:27068  mFSP:0  Y:1.71009e-08
FSP:27069  mFSP:0  Y:2.38012e-08
FSP:27070  mFSP:0  Y:1.73009e-08
FSP:27071  mFSP:0  Y:1.37007e-08
FSP:27072  mFSP:0  Y:7.48037e-09
FSP:27073  mFSP:0  Y:2.92015e-09
FSP:27074  mFSP:0  Y:6.32032e-10
FSP:27075  mFSP:0  Y:7.15014e-11
FSP:27076  mFSP:0  Y:4.12021e-12
FSP:27077  mFSP:0  Y:1.22115e-13
FSP:27078  mFSP:0  Y:5.20786e-15
FSP:28066  mFSP:0  Y:5.31027e-10
FSP:28067  mFSP:0  Y:4.28021e-09
FSP:28068  mFSP:0  Y:2.0801e-08
FSP:28069  mFSP:0  Y:6.22031e-08
FSP:28070  mFSP:0  Y:1.54008e-07
FSP:28071  mFSP:0  Y:2.80014e-07
FSP:28072  mFSP:0  Y:5.80029e-07
FSP:28073  mFSP:0  Y:6.1003e-07
FSP:28074  mFSP:0  Y:5.46027e-07
FSP:28075  mFSP:0  Y:1.72009e-07
FSP:28076  mFSP:0  Y:4.29021e-08
FSP:28077  mFSP:0  Y:4.08008e-09
FSP:28078  mFSP:0  Y:1.74003e-10
FSP:28079  mFSP:0  Y:1.18524e-12
FSP:28080  mFSP:0  Y:1.00005e-13
FSP:28081  mFSP:0  Y:2.75657e-15
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:1.52008e-12
FSP:29067  mFSP:0  Y:4.79024e-11
FSP:29068  mFSP:0  Y:1.54008e-10
FSP:29068  mFSP:1  Y:4.16021e-10
FSP:29069  mFSP:0  Y:6.0703e-09
FSP:29070  mFSP:0  Y:7.54038e-09
FSP:29070  mFSP:1  Y:2.67013e-08
FSP:29071  mFSP:0  Y:2.0401e-07
FSP:29072  mFSP:0  Y:9.34047e-07
FSP:29073  mFSP:0  Y:3.52018e-06
FSP:29074  mFSP:0  Y:7.59038e-06
FSP:29075  mFSP:0  Y:9.30046e-06
FSP:29076  mFSP:0  Y:6.17031e-06
FSP:29077  mFSP:0  Y:2.46012e-06
FSP:29078  mFSP:0  Y:2.95015e-07
