G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:233.025
nBlock:2
energy of incidence neutron:0.0253          Number of data set followings:1247          interpolation scheme:2
FSP:23066  mFSP:0  Y:2.05032e-19
FSP:24066  mFSP:0  Y:2.40981e-14
FSP:24067  mFSP:0  Y:0
FSP:24068  mFSP:0  Y:0
FSP:24069  mFSP:0  Y:2.10819e-18
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:7.19949e-12
FSP:25067  mFSP:0  Y:5.37962e-12
FSP:25068  mFSP:0  Y:6.65953e-13
FSP:25069  mFSP:0  Y:8.02922e-14
FSP:25070  mFSP:0  Y:0
FSP:25071  mFSP:0  Y:0
FSP:25072  mFSP:0  Y:6.08289e-18
FSP:25073  mFSP:0  Y:6.41071e-19
FSP:26066  mFSP:0  Y:3.75973e-10
FSP:26067  mFSP:0  Y:6.86951e-10
FSP:26068  mFSP:0  Y:3.91972e-10
FSP:26069  mFSP:0  Y:1.21991e-10
FSP:26070  mFSP:0  Y:3.23977e-11
FSP:26071  mFSP:0  Y:4.91965e-12
FSP:26072  mFSP:0  Y:7.14943e-13
FSP:26073  mFSP:0  Y:5.53954e-14
FSP:26074  mFSP:0  Y:0
FSP:26075  mFSP:0  Y:1.00027e-16
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:2.8098e-10
FSP:27067  mFSP:0  Y:1.99986e-09
FSP:27068  mFSP:0  Y:2.46983e-09
FSP:27069  mFSP:0  Y:3.24977e-09
FSP:27070  mFSP:0  Y:2.08985e-09
FSP:27071  mFSP:0  Y:1.4799e-09
FSP:27072  mFSP:0  Y:5.79959e-10
FSP:27073  mFSP:0  Y:2.20984e-10
FSP:27074  mFSP:0  Y:2.99979e-11
FSP:27075  mFSP:0  Y:3.80963e-12
FSP:27076  mFSP:0  Y:2.52982e-13
FSP:27077  mFSP:0  Y:6.52643e-15
FSP:27078  mFSP:0  Y:4.27929e-16
FSP:28066  mFSP:0  Y:5.77959e-11
FSP:28067  mFSP:0  Y:9.03936e-10
FSP:28068  mFSP:0  Y:4.1897e-09
FSP:28069  mFSP:0  Y:1.11992e-08
FSP:28070  mFSP:0  Y:2.7798e-08
FSP:28071  mFSP:0  Y:4.34969e-08
FSP:28072  mFSP:0  Y:7.59946e-08
FSP:28073  mFSP:0  Y:7.1295e-08
FSP:28074  mFSP:0  Y:4.57968e-08
FSP:28075  mFSP:0  Y:1.52989e-08
FSP:28076  mFSP:0  Y:5.01965e-09
FSP:28077  mFSP:0  Y:5.63954e-10
FSP:28078  mFSP:0  Y:5.0296e-11
FSP:28080  mFSP:0  Y:1.55989e-14
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:1.4299e-13
FSP:29067  mFSP:0  Y:9.67932e-12
FSP:29068  mFSP:0  Y:3.14978e-11
FSP:29068  mFSP:1  Y:7.35948e-11
FSP:29069  mFSP:0  Y:1.13992e-09
FSP:29070  mFSP:0  Y:1.48989e-09
FSP:29070  mFSP:1  Y:4.45968e-09
FSP:29071  mFSP:0  Y:3.47975e-08
FSP:29072  mFSP:0  Y:1.26991e-07
FSP:29073  mFSP:0  Y:4.70967e-07
FSP:29074  mFSP:0  Y:6.81952e-07
FSP:29075  mFSP:0  Y:1.00993e-06
FSP:29076  mFSP:0  Y:8.27941e-07
FSP:29077  mFSP:0  Y:4.44969e-07
FSP:29078  mFSP:0  Y:1.08992e-07
FSP:29079  mFSP:0  Y:0
FSP:29080  mFSP:0  Y:5.24963e-10
FSP:29081  mFSP:0  Y:0
FSP:29082  mFSP:0  Y:1.4799e-12
FSP:29083  mFSP:0  Y:7.3133e-15
FSP:30066  mFSP:0  Y:0
FSP:30067  mFSP:0  Y:0
FSP:30068  mFSP:0  Y:4.73967e-13
FSP:30069  mFSP:0  Y:2.47982e-12
FSP:30069  mFSP:1  Y:1.05993e-11
FSP:30070  mFSP:0  Y:3.02979e-10
FSP:30071  mFSP:0  Y:7.70946e-10
FSP:30071  mFSP:1  Y:3.28977e-09
FSP:30072  mFSP:0  Y:6.09957e-08
FSP:30073  mFSP:0  Y:4.62967e-07
FSP:30074  mFSP:0  Y:2.50982e-06
FSP:30075  mFSP:0  Y:7.66946e-06
FSP:30076  mFSP:0  Y:1.83787e-05
FSP:30077  mFSP:0  Y:3.14378e-05
FSP:30078  mFSP:0  Y:3.56475e-05
FSP:30079  mFSP:0  Y:1.63888e-05
FSP:30080  mFSP:0  Y:2.41983e-06
FSP:30081  mFSP:0  Y:0
FSP:30082  mFSP:0  Y:1.07992e-07
FSP:30083  mFSP:0  Y:6.31948e-10
FSP:30084  mFSP:0  Y:1.21991e-08
FSP:30085  mFSP:0  Y:1.54373e-13
FSP:30086  mFSP:0  Y:2.27984e-12
FSP:31066  mFSP:0  Y:0
FSP:31067  mFSP:0  Y:0
FSP:31068  mFSP:0  Y:0
FSP:31069  mFSP:0  Y:0
FSP:31070  mFSP:0  Y:1.4699e-13
FSP:31071  mFSP:0  Y:9.38934e-12
FSP:31072  mFSP:1  Y:1.92986e-10
FSP:31072  mFSP:0  Y:1.92986e-10
FSP:31073  mFSP:0  Y:1.20991e-08
FSP:31074  mFSP:1  Y:7.29948e-08
FSP:31074  mFSP:0  Y:7.29948e-08
FSP:31075  mFSP:0  Y:1.92986e-06
FSP:31076  mFSP:0  Y:1.04593e-05
FSP:31077  mFSP:0  Y:4.08171e-05
FSP:31078  mFSP:0  Y:0.000102813
FSP:31079  mFSP:0  Y:0.000171078
FSP:31080  mFSP:0  Y:0.000117062
FSP:31081  mFSP:0  Y:8.17742e-05
FSP:31082  mFSP:0  Y:6.26156e-05
FSP:31083  mFSP:0  Y:1.91986e-06
FSP:31084  mFSP:0  Y:0.000110672
FSP:31085  mFSP:0  Y:5.87943e-09
FSP:31086  mFSP:0  Y:3.27977e-07
FSP:31087  mFSP:0  Y:2.54114e-10
FSP:31088  mFSP:0  Y:4.42392e-12
FSP:32066  mFSP:0  Y:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:0
FSP:32069  mFSP:0  Y:0
FSP:32070  mFSP:0  Y:0
FSP:32071  mFSP:0  Y:0
FSP:32071  mFSP:1  Y:0
FSP:32072  mFSP:0  Y:3.63974e-13
FSP:32073  mFSP:0  Y:2.37983e-11
FSP:32073  mFSP:1  Y:5.5896e-12
FSP:32074  mFSP:0  Y:1.66988e-09
FSP:32075  mFSP:0  Y:6.80952e-09
FSP:32075  mFSP:1  Y:4.55968e-08
FSP:32076  mFSP:0  Y:1.29991e-06
FSP:32077  mFSP:0  Y:5.95958e-06
FSP:32077  mFSP:1  Y:8.90937e-07
FSP:32078  mFSP:0  Y:6.94151e-05
FSP:32079  mFSP:1  Y:0.000116247
FSP:32079  mFSP:0  Y:0.000116247
FSP:32080  mFSP:0  Y:0.00101818
FSP:32081  mFSP:0  Y:0.00126259
FSP:32082  mFSP:0  Y:0.00126469
FSP:32083  mFSP:0  Y:0.000478856
FSP:32084  mFSP:0  Y:0.000189947
FSP:32085  mFSP:0  Y:2.12985e-05
FSP:32086  mFSP:0  Y:0.00628666
FSP:32087  mFSP:0  Y:2.19582e-05
FSP:32088  mFSP:0  Y:5.19959e-07
FSP:32089  mFSP:0  Y:4.0431e-11
FSP:32090  mFSP:0  Y:1.17072e-12
FSP:32091  mFSP:0  Y:6.13734e-14
FSP:33069  mFSP:0  Y:0
FSP:33071  mFSP:0  Y:0
FSP:33072  mFSP:0  Y:0
FSP:33073  mFSP:0  Y:0
FSP:33074  mFSP:0  Y:4.98965e-14
FSP:33074  mFSP:1  Y:1.15992e-13
FSP:33075  mFSP:0  Y:2.55982e-11
FSP:33076  mFSP:0  Y:1.64988e-09
FSP:33077  mFSP:0  Y:4.3097e-08
FSP:33078  mFSP:0  Y:1.29991e-06
FSP:33079  mFSP:0  Y:2.65681e-05
FSP:33080  mFSP:0  Y:0.00013695
FSP:33081  mFSP:0  Y:0.000609047
FSP:33082  mFSP:0  Y:0.0012875
FSP:33082  mFSP:1  Y:0.000271051
FSP:33083  mFSP:0  Y:0.00290689
FSP:33084  mFSP:1  Y:0.000986965
FSP:33084  mFSP:0  Y:0.000986965
FSP:33085  mFSP:0  Y:0.00121362
FSP:33086  mFSP:0  Y:0.000199226
FSP:33087  mFSP:0  Y:0.000505324
FSP:33088  mFSP:0  Y:0.00124298
FSP:33089  mFSP:0  Y:1.53985e-06
FSP:33090  mFSP:0  Y:3.27811e-08
FSP:33091  mFSP:0  Y:2.33746e-09
FSP:33092  mFSP:0  Y:3.54764e-12
FSP:33093  mFSP:0  Y:2.84347e-13
FSP:34072  mFSP:0  Y:0
FSP:34073  mFSP:0  Y:0
FSP:34073  mFSP:1  Y:0
FSP:34074  mFSP:0  Y:0
FSP:34075  mFSP:0  Y:0
FSP:34076  mFSP:0  Y:3.03979e-13
FSP:34077  mFSP:0  Y:2.74981e-12
FSP:34077  mFSP:1  Y:1.83987e-11
FSP:34078  mFSP:0  Y:2.46983e-09
FSP:34079  mFSP:0  Y:1.09992e-07
FSP:34079  mFSP:1  Y:1.64988e-08
FSP:34080  mFSP:0  Y:4.88965e-06
FSP:34081  mFSP:0  Y:1.03793e-05
FSP:34081  mFSP:1  Y:6.92651e-05
FSP:34082  mFSP:0  Y:0.000370984
FSP:34083  mFSP:0  Y:0.0014292
FSP:34083  mFSP:1  Y:0.000335246
FSP:34084  mFSP:0  Y:0.00630945
FSP:34085  mFSP:0  Y:0.00446688
FSP:34085  mFSP:1  Y:0.00446688
FSP:34086  mFSP:0  Y:0.00835835
FSP:34087  mFSP:0  Y:0.00731048
FSP:34088  mFSP:0  Y:0.00267874
FSP:34089  mFSP:0  Y:0.000485486
FSP:34090  mFSP:0  Y:0.000126988
FSP:34091  mFSP:0  Y:6.65719e-06
FSP:34092  mFSP:0  Y:4.16967e-07
FSP:34093  mFSP:0  Y:2.45707e-08
FSP:34094  mFSP:0  Y:1.70988e-10
FSP:34095  mFSP:0  Y:6.62575e-13
FSP:34096  mFSP:0  Y:1.27991e-13
FSP:35075  mFSP:0  Y:0
FSP:35077  mFSP:0  Y:0
FSP:35077  mFSP:1  Y:0
FSP:35078  mFSP:0  Y:4.93965e-14
FSP:35079  mFSP:0  Y:3.10978e-12
FSP:35079  mFSP:1  Y:1.03993e-11
FSP:35080  mFSP:0  Y:3.70974e-10
FSP:35080  mFSP:1  Y:1.10992e-09
FSP:35081  mFSP:0  Y:8.85937e-08
FSP:35082  mFSP:0  Y:3.82973e-07
FSP:35082  mFSP:1  Y:1.62988e-07
FSP:35083  mFSP:0  Y:0.000195376
FSP:35084  mFSP:0  Y:0.000185797
FSP:35084  mFSP:1  Y:0.000167248
FSP:35085  mFSP:0  Y:0.00235019
FSP:35086  mFSP:0  Y:0.00229736
FSP:35086  mFSP:1  Y:0.00229736
FSP:35087  mFSP:0  Y:0.0127177
FSP:35088  mFSP:0  Y:0.0138742
FSP:35089  mFSP:0  Y:0.0103927
FSP:35090  mFSP:0  Y:0.00552553
FSP:35091  mFSP:0  Y:0.00223704
FSP:35092  mFSP:0  Y:0.000267711
FSP:35093  mFSP:0  Y:3.08432e-05
FSP:35094  mFSP:0  Y:1.65988e-06
FSP:35095  mFSP:0  Y:2.52348e-08
FSP:35096  mFSP:0  Y:1.90987e-08
FSP:35097  mFSP:0  Y:3.43679e-12
FSP:35098  mFSP:0  Y:1.38928e-10
FSP:36077  mFSP:0  Y:0
FSP:36078  mFSP:0  Y:0
FSP:36079  mFSP:1  Y:0
FSP:36079  mFSP:0  Y:0
FSP:36080  mFSP:0  Y:6.24956e-14
FSP:36081  mFSP:0  Y:9.42933e-12
FSP:36081  mFSP:1  Y:1.4099e-12
FSP:36082  mFSP:0  Y:3.34976e-10
FSP:36083  mFSP:0  Y:6.62953e-08
FSP:36083  mFSP:1  Y:1.54989e-08
FSP:36084  mFSP:0  Y:3.24977e-06
FSP:36085  mFSP:0  Y:0.000255332
FSP:36085  mFSP:1  Y:5.89058e-05
FSP:36086  mFSP:0  Y:0.000872228
FSP:36087  mFSP:0  Y:0.00463375
FSP:36088  mFSP:0  Y:0.0173221
FSP:36089  mFSP:0  Y:0.0343845
FSP:36090  mFSP:0  Y:0.0439695
FSP:36091  mFSP:0  Y:0.0315598
FSP:36092  mFSP:0  Y:0.016581
FSP:36093  mFSP:0  Y:0.00486312
FSP:36094  mFSP:0  Y:0.000868149
FSP:36095  mFSP:0  Y:7.18697e-05
FSP:36096  mFSP:0  Y:0.000378113
FSP:36097  mFSP:0  Y:2.96976e-07
FSP:36098  mFSP:0  Y:1.63287e-05
FSP:36099  mFSP:0  Y:1.2276e-11
FSP:36100  mFSP:0  Y:1.14992e-08
FSP:36101  mFSP:0  Y:4.13579e-13
FSP:37079  mFSP:0  Y:0
FSP:37081  mFSP:0  Y:0
FSP:37083  mFSP:0  Y:2.29984e-12
FSP:37084  mFSP:0  Y:2.15985e-11
FSP:37085  mFSP:0  Y:2.37483e-05
FSP:37086  mFSP:1  Y:3.22477e-08
FSP:37086  mFSP:0  Y:3.22477e-08
FSP:37087  mFSP:0  Y:2.50182e-05
FSP:37088  mFSP:0  Y:0.000223014
FSP:37089  mFSP:0  Y:0.00204542
FSP:37090  mFSP:0  Y:0.00138623
FSP:37090  mFSP:1  Y:0.0070662
FSP:37091  mFSP:0  Y:0.0222492
FSP:37092  mFSP:0  Y:0.0313173
FSP:37093  mFSP:0  Y:0.0306672
FSP:37094  mFSP:0  Y:0.0156647
FSP:37095  mFSP:0  Y:0.00763687
FSP:37096  mFSP:0  Y:0.00168422
FSP:37097  mFSP:0  Y:0.000379373
FSP:37098  mFSP:0  Y:2.35883e-05
FSP:37099  mFSP:0  Y:4.67542e-07
FSP:37100  mFSP:0  Y:0.000347615
FSP:37101  mFSP:0  Y:1.57516e-08
FSP:37102  mFSP:0  Y:1.4718e-11
FSP:37103  mFSP:0  Y:2.38107e-13
FSP:38083  mFSP:0  Y:0
FSP:38084  mFSP:0  Y:0
FSP:38085  mFSP:1  Y:3.92472e-13
FSP:38085  mFSP:0  Y:3.92472e-13
FSP:38086  mFSP:0  Y:1.18992e-10
FSP:38087  mFSP:0  Y:1.06992e-08
FSP:38087  mFSP:1  Y:2.50982e-09
FSP:38088  mFSP:0  Y:7.67946e-07
FSP:38089  mFSP:0  Y:0.000175198
FSP:38090  mFSP:0  Y:0.000737128
FSP:38091  mFSP:0  Y:0.00250483
FSP:38092  mFSP:0  Y:0.0107518
FSP:38093  mFSP:0  Y:0.0256971
FSP:38094  mFSP:0  Y:0.0451267
FSP:38095  mFSP:0  Y:0.0453728
FSP:38096  mFSP:0  Y:0.0356811
FSP:38097  mFSP:0  Y:0.0172068
FSP:38098  mFSP:0  Y:0.00808091
FSP:38099  mFSP:0  Y:0.00133158
FSP:38100  mFSP:0  Y:8.15242e-05
FSP:38101  mFSP:0  Y:4.48611e-05
FSP:38102  mFSP:0  Y:1.72986e-06
FSP:38103  mFSP:0  Y:2.0575e-08
FSP:38104  mFSP:0  Y:1.30991e-09
FSP:38105  mFSP:0  Y:0
FSP:38106  mFSP:0  Y:0
FSP:38107  mFSP:0  Y:0
FSP:38108  mFSP:0  Y:0
FSP:39085  mFSP:0  Y:0
FSP:39087  mFSP:0  Y:9.99929e-14
FSP:39088  mFSP:0  Y:1.69988e-11
FSP:39089  mFSP:0  Y:4.39969e-10
FSP:39089  mFSP:1  Y:1.87987e-09
FSP:39090  mFSP:1  Y:4.48468e-08
FSP:39090  mFSP:0  Y:4.48468e-08
FSP:39091  mFSP:1  Y:1.64988e-06
FSP:39091  mFSP:0  Y:1.64988e-06
FSP:39092  mFSP:0  Y:0.000714829
FSP:39093  mFSP:1  Y:0.000543342
FSP:39093  mFSP:0  Y:0.000543342
FSP:39094  mFSP:0  Y:0.00389833
FSP:39095  mFSP:0  Y:0.011054
FSP:39096  mFSP:0  Y:0.00224388
FSP:39096  mFSP:1  Y:0.020195
FSP:39097  mFSP:1  Y:0.0157025
FSP:39097  mFSP:0  Y:0.0157025
FSP:39098  mFSP:0  Y:0.0110632
FSP:39098  mFSP:1  Y:0.0110632
FSP:39099  mFSP:0  Y:0.0194933
FSP:39100  mFSP:0  Y:0.00567391
FSP:39101  mFSP:0  Y:0.00278002
FSP:39102  mFSP:0  Y:0.00267979
FSP:39103  mFSP:0  Y:2.58276e-05
FSP:39104  mFSP:0  Y:5.6796e-06
FSP:39105  mFSP:0  Y:4.66997e-12
FSP:39106  mFSP:0  Y:4.97911e-17
FSP:39107  mFSP:0  Y:6.27991e-18
FSP:39108  mFSP:0  Y:9.18765e-21
FSP:39109  mFSP:0  Y:4.45818e-14
FSP:39110  mFSP:0  Y:7.9035e-16
FSP:40087  mFSP:0  Y:0
FSP:40088  mFSP:0  Y:0
FSP:40089  mFSP:0  Y:2.06985e-14
FSP:40090  mFSP:1  Y:2.09485e-12
FSP:40090  mFSP:0  Y:2.09485e-12
FSP:40091  mFSP:0  Y:4.41969e-10
FSP:40092  mFSP:0  Y:0.000118982
FSP:40093  mFSP:0  Y:1.3699e-06
FSP:40094  mFSP:0  Y:0.000194946
FSP:40095  mFSP:0  Y:0.00127244
FSP:40096  mFSP:0  Y:0.0033705
FSP:40097  mFSP:0  Y:0.0109237
FSP:40098  mFSP:0  Y:0.0257356
FSP:40099  mFSP:0  Y:0.0358394
FSP:40100  mFSP:0  Y:0.0497641
FSP:40101  mFSP:0  Y:0.0278782
FSP:40102  mFSP:0  Y:0.0178133
FSP:40103  mFSP:0  Y:0.00498868
FSP:40104  mFSP:0  Y:0.000827871
FSP:40105  mFSP:0  Y:0.00115837
FSP:40106  mFSP:0  Y:1.67988e-08
FSP:40107  mFSP:0  Y:1.55771e-09
FSP:40108  mFSP:0  Y:3.09978e-12
FSP:40109  mFSP:0  Y:3.85235e-09
FSP:40110  mFSP:0  Y:9.28926e-11
FSP:40111  mFSP:0  Y:2.10107e-14
FSP:40112  mFSP:0  Y:8.89352e-16
FSP:41089  mFSP:0  Y:0
