G4NDL
ENDF/B-VI.8
MT:454  MF:8  AWR:230.045
nBlock:1
energy of incidence neutron:500000          Number of data set followings:1309          interpolation scheme:1
FSP:31083  mFSP:0  Y:0.000106668
FSP:31084  mFSP:0  Y:1.30097e-05
FSP:31085  mFSP:0  Y:9.24964e-07
FSP:31086  mFSP:0  Y:3.17993e-08
FSP:31087  mFSP:0  Y:2.98788e-09
FSP:31088  mFSP:0  Y:3.228e-12
FSP:31089  mFSP:0  Y:1.85516e-13
FSP:32066  mFSP:0  Y:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:0
FSP:32069  mFSP:0  Y:0
FSP:32070  mFSP:0  Y:0
FSP:32071  mFSP:0  Y:0
FSP:32071  mFSP:1  Y:0
FSP:32072  mFSP:0  Y:6.53985e-14
FSP:32073  mFSP:0  Y:4.11991e-12
FSP:32073  mFSP:1  Y:8.42981e-13
FSP:32074  mFSP:0  Y:2.32995e-10
FSP:32075  mFSP:0  Y:1.12997e-09
FSP:32075  mFSP:1  Y:8.26981e-09
FSP:32076  mFSP:0  Y:2.60994e-07
FSP:32077  mFSP:0  Y:2.73994e-06
FSP:32077  mFSP:1  Y:3.72992e-07
FSP:32078  mFSP:0  Y:4.5999e-05
FSP:32079  mFSP:1  Y:0.000128977
FSP:32079  mFSP:0  Y:0.000128977
FSP:32080  mFSP:0  Y:0.00117951
FSP:32081  mFSP:0  Y:0.00326986
FSP:32082  mFSP:0  Y:0.00641465
FSP:32083  mFSP:0  Y:0.00619135
FSP:32084  mFSP:0  Y:0.00323928
FSP:32085  mFSP:0  Y:0.000773033
FSP:32086  mFSP:0  Y:0.000119507
FSP:32087  mFSP:0  Y:8.36682e-06
FSP:32088  mFSP:0  Y:3.54989e-07
FSP:32089  mFSP:0  Y:1.73278e-08
FSP:32090  mFSP:0  Y:8.46148e-12
FSP:32091  mFSP:0  Y:7.71084e-13
FSP:32092  mFSP:0  Y:4.80169e-14
FSP:33069  mFSP:0  Y:0
FSP:33071  mFSP:0  Y:0
FSP:33072  mFSP:0  Y:0
FSP:33073  mFSP:0  Y:0
FSP:33074  mFSP:0  Y:0
FSP:33074  mFSP:1  Y:0
FSP:33075  mFSP:0  Y:1.19997e-12
FSP:33076  mFSP:0  Y:1.05998e-10
FSP:33077  mFSP:0  Y:5.43988e-09
FSP:33078  mFSP:0  Y:2.41995e-07
FSP:33079  mFSP:0  Y:5.56987e-06
FSP:33080  mFSP:0  Y:7.47983e-05
FSP:33081  mFSP:0  Y:0.000760163
FSP:33082  mFSP:0  Y:0.00187787
FSP:33082  mFSP:1  Y:0.00187883
FSP:33083  mFSP:0  Y:0.0126662
FSP:33084  mFSP:1  Y:0.00865663
FSP:33084  mFSP:0  Y:0.00865663
FSP:33085  mFSP:0  Y:0.0165978
FSP:33086  mFSP:0  Y:0.0074772
FSP:33087  mFSP:0  Y:0.00230478
FSP:33088  mFSP:0  Y:0.000323283
FSP:33089  mFSP:0  Y:3.24819e-05
FSP:33090  mFSP:0  Y:4.49357e-07
FSP:33091  mFSP:0  Y:4.8213e-08
FSP:33092  mFSP:0  Y:2.54999e-09
FSP:33093  mFSP:0  Y:1.86601e-12
FSP:33094  mFSP:0  Y:6.41963e-14
FSP:34072  mFSP:0  Y:0
FSP:34073  mFSP:0  Y:0
FSP:34073  mFSP:1  Y:0
FSP:34074  mFSP:0  Y:0
FSP:34075  mFSP:0  Y:0
FSP:34076  mFSP:0  Y:0
FSP:34077  mFSP:0  Y:5.70987e-14
FSP:34077  mFSP:1  Y:4.18991e-13
FSP:34078  mFSP:0  Y:8.53981e-11
FSP:34079  mFSP:0  Y:6.10986e-09
FSP:34079  mFSP:1  Y:8.32981e-10
FSP:34080  mFSP:0  Y:4.06991e-07
FSP:34081  mFSP:0  Y:1.50997e-06
FSP:34081  mFSP:1  Y:1.10797e-05
FSP:34082  mFSP:0  Y:0.000264834
FSP:34083  mFSP:0  Y:0.0021685
FSP:34083  mFSP:1  Y:0.000419221
FSP:34084  mFSP:0  Y:0.0108995
FSP:34085  mFSP:0  Y:0.0150604
FSP:34085  mFSP:1  Y:0.0150604
FSP:34086  mFSP:0  Y:0.0468245
FSP:34087  mFSP:0  Y:0.0390855
FSP:34088  mFSP:0  Y:0.0220921
FSP:34089  mFSP:0  Y:0.00687398
FSP:34090  mFSP:0  Y:0.00148152
FSP:34091  mFSP:0  Y:0.000135009
FSP:34092  mFSP:0  Y:8.40726e-06
FSP:34093  mFSP:0  Y:1.74291e-07
FSP:34094  mFSP:0  Y:7.05978e-09
FSP:34095  mFSP:0  Y:5.66255e-12
FSP:34096  mFSP:0  Y:5.87987e-13
FSP:34097  mFSP:0  Y:4.162e-14
FSP:35075  mFSP:0  Y:0
FSP:35077  mFSP:0  Y:0
FSP:35077  mFSP:1  Y:0
FSP:35078  mFSP:0  Y:0
FSP:35079  mFSP:0  Y:3.56992e-14
FSP:35079  mFSP:1  Y:1.33997e-13
FSP:35080  mFSP:0  Y:7.59983e-12
FSP:35080  mFSP:1  Y:2.68994e-11
FSP:35081  mFSP:0  Y:4.4599e-09
FSP:35082  mFSP:0  Y:8.38981e-07
FSP:35082  mFSP:1  Y:1.48997e-07
FSP:35083  mFSP:0  Y:1.47597e-05
FSP:35084  mFSP:0  Y:7.14884e-05
FSP:35084  mFSP:1  Y:0.000151917
FSP:35085  mFSP:0  Y:0.00226435
FSP:35086  mFSP:0  Y:0.00457201
FSP:35086  mFSP:1  Y:0.00457201
FSP:35087  mFSP:0  Y:0.0265675
FSP:35088  mFSP:0  Y:0.0381986
FSP:35089  mFSP:0  Y:0.0432875
FSP:35090  mFSP:0  Y:0.0261963
FSP:35091  mFSP:0  Y:0.00994884
FSP:35092  mFSP:0  Y:0.00196719
FSP:35093  mFSP:0  Y:0.000326718
FSP:35094  mFSP:0  Y:2.47694e-05
FSP:35095  mFSP:0  Y:3.54058e-07
FSP:35096  mFSP:0  Y:3.20993e-08
FSP:35097  mFSP:0  Y:2.60235e-09
FSP:35098  mFSP:0  Y:2.85519e-12
FSP:35099  mFSP:0  Y:2.04571e-13
FSP:36077  mFSP:0  Y:0
FSP:36078  mFSP:0  Y:0
FSP:36079  mFSP:1  Y:0
FSP:36079  mFSP:0  Y:0
FSP:36080  mFSP:0  Y:0
FSP:36081  mFSP:0  Y:6.81985e-14
FSP:36081  mFSP:1  Y:0
FSP:36082  mFSP:0  Y:3.09993e-11
FSP:36083  mFSP:0  Y:3.74992e-09
FSP:36083  mFSP:1  Y:7.68983e-10
FSP:36084  mFSP:0  Y:3.13993e-07
FSP:36085  mFSP:0  Y:9.94978e-06
FSP:36085  mFSP:1  Y:2.03995e-06
FSP:36086  mFSP:0  Y:0.000165916
FSP:36087  mFSP:0  Y:0.00154161
FSP:36088  mFSP:0  Y:0.00846922
FSP:36089  mFSP:0  Y:0.0245087
FSP:36090  mFSP:0  Y:0.0533862
FSP:36091  mFSP:0  Y:0.0523627
FSP:36092  mFSP:0  Y:0.0392251
FSP:36093  mFSP:0  Y:0.0183833
FSP:36094  mFSP:0  Y:0.0059695
FSP:36095  mFSP:0  Y:0.000991454
FSP:36096  mFSP:0  Y:0.000108668
FSP:36097  mFSP:0  Y:7.28723e-06
FSP:36098  mFSP:0  Y:3.1399e-07
FSP:36099  mFSP:0  Y:1.91076e-08
FSP:36100  mFSP:0  Y:0
FSP:36101  mFSP:0  Y:0
FSP:36102  mFSP:0  Y:0
FSP:36103  mFSP:0  Y:0
FSP:36104  mFSP:0  Y:0
FSP:37079  mFSP:0  Y:0
FSP:37081  mFSP:0  Y:0
FSP:37083  mFSP:0  Y:2.67994e-14
FSP:37084  mFSP:0  Y:6.52985e-12
FSP:37085  mFSP:0  Y:1.29997e-09
FSP:37086  mFSP:1  Y:2.83494e-08
FSP:37086  mFSP:0  Y:2.83494e-08
FSP:37087  mFSP:0  Y:2.42995e-06
FSP:37088  mFSP:0  Y:4.5349e-05
FSP:37089  mFSP:0  Y:0.000558177
FSP:37090  mFSP:0  Y:0.000550988
FSP:37090  mFSP:1  Y:0.00267283
FSP:37091  mFSP:0  Y:0.0119714
FSP:37092  mFSP:0  Y:0.0256298
FSP:37093  mFSP:0  Y:0.0382276
FSP:37094  mFSP:0  Y:0.0310245
FSP:37095  mFSP:0  Y:0.0200241
FSP:37096  mFSP:0  Y:0.00617122
FSP:37097  mFSP:0  Y:0.00175505
FSP:37098  mFSP:0  Y:0.000232475
FSP:37099  mFSP:0  Y:3.58183e-05
FSP:37100  mFSP:0  Y:2.71994e-11
FSP:37101  mFSP:0  Y:5.02469e-14
FSP:37102  mFSP:0  Y:2.10261e-15
FSP:37103  mFSP:0  Y:2.18086e-16
FSP:37104  mFSP:0  Y:1.41562e-18
FSP:37105  mFSP:0  Y:0
FSP:37106  mFSP:0  Y:4.8521e-15
FSP:38083  mFSP:0  Y:0
FSP:38084  mFSP:0  Y:0
FSP:38085  mFSP:1  Y:0
FSP:38085  mFSP:0  Y:0
FSP:38086  mFSP:0  Y:1.19997e-12
FSP:38087  mFSP:0  Y:1.49997e-10
FSP:38087  mFSP:1  Y:3.05993e-11
FSP:38088  mFSP:0  Y:1.59996e-08
FSP:38089  mFSP:0  Y:6.85985e-07
FSP:38090  mFSP:0  Y:1.76096e-05
FSP:38091  mFSP:0  Y:0.000208025
