G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:235.012
nBlock:0
energy of incidence neutron:500000          Number of data set followings:1286          interpolation scheme:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:0
FSP:32069  mFSP:0  Y:0
FSP:32070  mFSP:0  Y:0
FSP:32071  mFSP:0  Y:0
FSP:32071  mFSP:1  Y:0
FSP:32072  mFSP:0  Y:1.01001e-13
FSP:32073  mFSP:0  Y:1.55002e-11
FSP:32073  mFSP:1  Y:3.18004e-12
FSP:32074  mFSP:0  Y:1.24001e-09
FSP:32075  mFSP:0  Y:5.49006e-09
FSP:32075  mFSP:1  Y:4.03005e-08
FSP:32076  mFSP:0  Y:8.8901e-07
FSP:32077  mFSP:0  Y:1.00001e-05
FSP:32077  mFSP:1  Y:1.36002e-06
FSP:32078  mFSP:0  Y:0.000119241
FSP:32079  mFSP:1  Y:0.000188137
FSP:32079  mFSP:0  Y:0.000188137
FSP:32080  mFSP:0  Y:0.000939331
FSP:32081  mFSP:0  Y:0.00143579
FSP:32082  mFSP:0  Y:0.00159313
FSP:32083  mFSP:0  Y:0.000972231
FSP:32084  mFSP:0  Y:0.000482385
FSP:32085  mFSP:0  Y:9.0071e-05
FSP:32086  mFSP:0  Y:1.30801e-05
FSP:32087  mFSP:0  Y:8.72997e-07
FSP:32088  mFSP:0  Y:5.81e-08
FSP:32089  mFSP:0  Y:5.23872e-09
FSP:32090  mFSP:0  Y:4.84932e-12
FSP:32091  mFSP:0  Y:4.63385e-13
FSP:33069  mFSP:0  Y:0
FSP:33071  mFSP:0  Y:0
FSP:33072  mFSP:0  Y:0
FSP:33073  mFSP:0  Y:0
FSP:33074  mFSP:0  Y:2.24003e-14
FSP:33074  mFSP:1  Y:6.05007e-14
FSP:33075  mFSP:0  Y:1.34002e-11
FSP:33076  mFSP:0  Y:7.10008e-10
FSP:33077  mFSP:0  Y:3.81004e-08
FSP:33078  mFSP:0  Y:1.10001e-06
FSP:33079  mFSP:0  Y:1.41702e-05
FSP:33080  mFSP:0  Y:8.6851e-05
FSP:33081  mFSP:0  Y:0.000483505
FSP:33082  mFSP:0  Y:0.000620807
FSP:33082  mFSP:1  Y:0.000620807
FSP:33083  mFSP:0  Y:0.00269701
FSP:33084  mFSP:1  Y:0.00160337
FSP:33084  mFSP:0  Y:0.00160337
FSP:33085  mFSP:0  Y:0.00238959
FSP:33086  mFSP:0  Y:0.000963311
FSP:33087  mFSP:0  Y:0.000284013
FSP:33088  mFSP:0  Y:5.48406e-05
FSP:33089  mFSP:0  Y:5.90483e-06
FSP:33090  mFSP:0  Y:1.14977e-07
FSP:33091  mFSP:0  Y:1.48453e-08
FSP:33092  mFSP:0  Y:3.05042e-11
FSP:33093  mFSP:0  Y:1.58871e-12
FSP:33094  mFSP:0  Y:3.53207e-14
FSP:34072  mFSP:0  Y:0
FSP:34073  mFSP:0  Y:0
FSP:34073  mFSP:1  Y:0
FSP:34074  mFSP:0  Y:0
FSP:34075  mFSP:0  Y:0
FSP:34076  mFSP:0  Y:6.19007e-14
FSP:34077  mFSP:0  Y:1.16001e-12
FSP:34077  mFSP:1  Y:8.4801e-12
FSP:34078  mFSP:0  Y:1.25001e-09
FSP:34079  mFSP:0  Y:4.24005e-08
FSP:34079  mFSP:1  Y:5.79007e-09
FSP:34080  mFSP:0  Y:1.26001e-06
FSP:34081  mFSP:0  Y:2.33003e-06
FSP:34081  mFSP:1  Y:1.71002e-05
FSP:34082  mFSP:0  Y:0.000198322
FSP:34083  mFSP:0  Y:0.0008786
FSP:34083  mFSP:1  Y:0.000179952
FSP:34084  mFSP:0  Y:0.00423021
FSP:34085  mFSP:0  Y:0.00376431
FSP:34085  mFSP:1  Y:0.0037238
FSP:34086  mFSP:0  Y:0.0110213
FSP:34087  mFSP:0  Y:0.00826688
FSP:34088  mFSP:0  Y:0.00636314
FSP:34089  mFSP:0  Y:0.00194543
FSP:34090  mFSP:0  Y:0.000377949
FSP:34091  mFSP:0  Y:3.61156e-05
FSP:34092  mFSP:0  Y:2.85e-06
FSP:34093  mFSP:0  Y:1.09854e-07
FSP:34094  mFSP:0  Y:3.3e-09
FSP:34095  mFSP:0  Y:7.84663e-12
FSP:34096  mFSP:0  Y:3.99005e-13
FSP:35075  mFSP:0  Y:0
FSP:35077  mFSP:0  Y:0
FSP:35077  mFSP:1  Y:0
