G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:232.03
nBlock:1
energy of incidence neutron:500000          Number of data set followings:1234          interpolation scheme:1
FSP:23066  mFSP:0  Y:9.71536e-18
FSP:23067  mFSP:0  Y:9.82825e-19
FSP:24066  mFSP:0  Y:4.79991e-13
FSP:24067  mFSP:0  Y:3.5699e-14
FSP:24068  mFSP:0  Y:0
FSP:24069  mFSP:0  Y:8.36953e-17
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:1.93e-10
FSP:25067  mFSP:0  Y:5.98e-11
FSP:25068  mFSP:0  Y:1.04e-11
FSP:25069  mFSP:0  Y:1.33992e-12
FSP:25070  mFSP:0  Y:1.19e-13
FSP:25071  mFSP:0  Y:0
FSP:25072  mFSP:0  Y:1.41682e-16
FSP:26066  mFSP:0  Y:1.32e-08
FSP:26067  mFSP:0  Y:9.53001e-09
FSP:26068  mFSP:0  Y:6.65e-09
FSP:26069  mFSP:0  Y:2.11e-09
FSP:26070  mFSP:0  Y:7.91001e-10
FSP:26071  mFSP:0  Y:1.22e-10
FSP:26072  mFSP:0  Y:6.99986e-12
FSP:26073  mFSP:0  Y:2.57e-13
FSP:26074  mFSP:0  Y:1.49e-14
FSP:26075  mFSP:0  Y:1.17423e-15
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:1.87e-08
FSP:27067  mFSP:0  Y:4.65e-08
FSP:27068  mFSP:0  Y:7.03001e-08
FSP:27069  mFSP:0  Y:8.43001e-08
FSP:27070  mFSP:0  Y:7.45001e-08
FSP:27071  mFSP:0  Y:4.66e-08
FSP:27072  mFSP:0  Y:6.67e-09
FSP:27073  mFSP:0  Y:1.03e-09
FSP:27074  mFSP:0  Y:1.58e-10
FSP:27075  mFSP:0  Y:1.87988e-11
FSP:27076  mFSP:0  Y:6.74e-13
FSP:27077  mFSP:0  Y:2.37585e-14
FSP:28066  mFSP:0  Y:7.06001e-09
FSP:28067  mFSP:0  Y:3.58e-08
FSP:28068  mFSP:0  Y:1.8e-07
FSP:28069  mFSP:0  Y:4.38e-07
FSP:28070  mFSP:0  Y:1.35e-06
FSP:28071  mFSP:0  Y:1.86e-06
FSP:28072  mFSP:0  Y:1.02e-06
FSP:28073  mFSP:0  Y:3.79e-07
FSP:28074  mFSP:0  Y:2.45e-07
FSP:28075  mFSP:0  Y:7.33001e-08
FSP:28076  mFSP:0  Y:1.18e-08
FSP:28077  mFSP:0  Y:8.62977e-10
FSP:28078  mFSP:0  Y:2.87e-11
FSP:28079  mFSP:0  Y:4.52204e-13
FSP:28080  mFSP:0  Y:0
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:5.13e-11
FSP:29067  mFSP:0  Y:9.92001e-10
FSP:29068  mFSP:0  Y:2.96e-09
FSP:29068  mFSP:1  Y:8.00001e-09
FSP:29069  mFSP:0  Y:9.25001e-08
FSP:29070  mFSP:0  Y:1.27e-07
FSP:29070  mFSP:1  Y:4.5e-07
FSP:29071  mFSP:0  Y:2.65e-06
FSP:29072  mFSP:0  Y:2.98e-06
FSP:29073  mFSP:0  Y:3.92e-06
FSP:29074  mFSP:0  Y:5.85e-06
FSP:29075  mFSP:0  Y:6.82e-06
FSP:29076  mFSP:0  Y:2.83e-06
FSP:29077  mFSP:0  Y:9.09001e-07
FSP:29078  mFSP:0  Y:8.41001e-08
FSP:29079  mFSP:0  Y:7.23955e-09
FSP:29080  mFSP:0  Y:2.65e-10
FSP:29081  mFSP:0  Y:9.61001e-12
FSP:29082  mFSP:0  Y:1.43e-13
FSP:30066  mFSP:0  Y:6.02e-14
FSP:30067  mFSP:0  Y:2.9e-12
FSP:30068  mFSP:0  Y:1.3e-10
FSP:30069  mFSP:0  Y:4.38e-10
FSP:30069  mFSP:1  Y:2.14e-09
FSP:30070  mFSP:0  Y:6.04e-08
FSP:30071  mFSP:0  Y:1.02e-07
FSP:30071  mFSP:1  Y:4.96e-07
FSP:30072  mFSP:0  Y:2.3e-06
FSP:30073  mFSP:0  Y:6.08e-06
FSP:30074  mFSP:0  Y:3.117e-05
FSP:30075  mFSP:0  Y:7.54801e-05
FSP:30076  mFSP:0  Y:0.00012003
FSP:30077  mFSP:0  Y:9.33501e-05
FSP:30078  mFSP:0  Y:3.745e-05
FSP:30079  mFSP:0  Y:8.43001e-06
FSP:30080  mFSP:0  Y:1.37e-06
FSP:30081  mFSP:0  Y:1.35e-07
FSP:30082  mFSP:0  Y:9.47001e-09
FSP:30083  mFSP:0  Y:2.89e-10
FSP:30084  mFSP:0  Y:6.15e-12
FSP:30085  mFSP:0  Y:1.68015e-13
FSP:30086  mFSP:0  Y:0
FSP:31066  mFSP:0  Y:0
FSP:31067  mFSP:0  Y:0
FSP:31068  mFSP:0  Y:2.19e-14
FSP:31069  mFSP:0  Y:1.82e-12
FSP:31070  mFSP:0  Y:1.05e-10
FSP:31071  mFSP:0  Y:4.17e-09
FSP:31072  mFSP:1  Y:1.865e-08
FSP:31072  mFSP:0  Y:1.865e-08
FSP:31073  mFSP:0  Y:3.64e-07
FSP:31074  mFSP:1  Y:2.025e-06
FSP:31074  mFSP:0  Y:2.025e-06
FSP:31075  mFSP:0  Y:3.317e-05
