G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:227.064
nBlock:0
energy of incidence neutron:0.0253          Number of data set followings:1239          interpolation scheme:0
FSP:24066  mFSP:0  Y:0
FSP:24067  mFSP:0  Y:0
FSP:24068  mFSP:0  Y:0
FSP:24069  mFSP:0  Y:7.25255e-19
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:1.20001e-12
FSP:25067  mFSP:0  Y:5.00003e-13
FSP:25068  mFSP:0  Y:8.37004e-14
FSP:25069  mFSP:0  Y:2.14994e-14
FSP:25070  mFSP:0  Y:0
FSP:25071  mFSP:0  Y:0
FSP:25072  mFSP:0  Y:1.56155e-17
FSP:25073  mFSP:0  Y:1.07998e-18
FSP:26066  mFSP:0  Y:1.79001e-10
FSP:26067  mFSP:0  Y:1.46001e-10
FSP:26068  mFSP:0  Y:1.30001e-10
FSP:26069  mFSP:0  Y:7.06004e-11
FSP:26070  mFSP:0  Y:2.41001e-11
FSP:26071  mFSP:0  Y:6.60003e-12
FSP:26072  mFSP:0  Y:1.34999e-12
FSP:26073  mFSP:0  Y:6.90993e-14
FSP:26074  mFSP:0  Y:0
FSP:26075  mFSP:0  Y:7.18509e-17
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:7.39004e-11
FSP:27067  mFSP:0  Y:2.68001e-10
FSP:27068  mFSP:0  Y:4.31002e-10
FSP:27069  mFSP:0  Y:1.16001e-09
FSP:27070  mFSP:0  Y:8.12004e-10
FSP:27071  mFSP:0  Y:1.24001e-09
FSP:27072  mFSP:0  Y:5.62003e-10
FSP:27073  mFSP:0  Y:1.74001e-10
FSP:27074  mFSP:0  Y:1.68001e-11
FSP:27075  mFSP:0  Y:2.12994e-12
FSP:27076  mFSP:0  Y:1.02001e-13
FSP:27077  mFSP:0  Y:1.15812e-14
FSP:27078  mFSP:0  Y:1.07342e-15
FSP:28066  mFSP:0  Y:4.80003e-11
FSP:28067  mFSP:0  Y:3.02002e-10
FSP:28068  mFSP:0  Y:2.11001e-09
FSP:28069  mFSP:0  Y:9.54005e-09
FSP:28070  mFSP:0  Y:3.12002e-08
FSP:28071  mFSP:0  Y:9.03005e-08
FSP:28072  mFSP:0  Y:2.13001e-07
FSP:28073  mFSP:0  Y:1.43001e-07
FSP:28074  mFSP:0  Y:8.07004e-08
FSP:28075  mFSP:0  Y:2.35001e-08
FSP:28076  mFSP:0  Y:6.67003e-09
FSP:28077  mFSP:0  Y:7.40992e-10
FSP:28078  mFSP:0  Y:9.27994e-11
FSP:28079  mFSP:0  Y:6.71283e-13
FSP:28080  mFSP:0  Y:3.89002e-14
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:7.27004e-14
FSP:29067  mFSP:0  Y:2.37001e-12
FSP:29068  mFSP:0  Y:9.42005e-12
FSP:29068  mFSP:1  Y:2.20001e-11
FSP:29069  mFSP:0  Y:6.60003e-10
FSP:29070  mFSP:0  Y:9.45005e-10
FSP:29070  mFSP:1  Y:2.83001e-09
FSP:29071  mFSP:0  Y:4.88003e-08
FSP:29072  mFSP:0  Y:2.01001e-07
FSP:29073  mFSP:0  Y:6.60003e-07
FSP:29074  mFSP:0  Y:7.49004e-07
FSP:29075  mFSP:0  Y:1.20001e-06
FSP:29076  mFSP:0  Y:7.30004e-07
FSP:29077  mFSP:0  Y:4.81003e-07
FSP:29078  mFSP:0  Y:1.35001e-07
FSP:29079  mFSP:0  Y:1.98994e-08
FSP:29080  mFSP:0  Y:7.74004e-10
FSP:29081  mFSP:0  Y:5.02003e-11
FSP:29082  mFSP:0  Y:8.80005e-13
FSP:29083  mFSP:0  Y:1.96928e-14
FSP:30066  mFSP:0  Y:0
FSP:30067  mFSP:0  Y:0
FSP:30068  mFSP:0  Y:4.96003e-13
FSP:30069  mFSP:0  Y:4.05002e-12
FSP:30069  mFSP:1  Y:1.72001e-11
FSP:30070  mFSP:0  Y:6.39003e-10
FSP:30071  mFSP:0  Y:2.99002e-09
FSP:30071  mFSP:1  Y:1.27001e-08
FSP:30072  mFSP:0  Y:3.03002e-07
FSP:30073  mFSP:0  Y:1.76001e-06
FSP:30074  mFSP:0  Y:9.20005e-06
